left,right,relation,base,specific,string_similarity,support_left,support_right,cooccurrence,jaccard,p_right_given_left,p_left_given_right
dark soy sauce,soy sauce,token_phrase_containment,soy sauce,dark soy sauce,0.782609,622,5367,159,0.02727273,0.25562701,0.02962549
dry white wine,white wine,token_phrase_containment,white wine,dry white wine,0.833333,1165,609,0,0.0,0.0,0.0
egg,egg whites,token_phrase_containment,egg,egg whites,0.461538,11145,1346,261,0.02134096,0.02341857,0.19390788
egg,egg yolks,token_phrase_containment,egg,egg yolks,0.5,11145,1025,247,0.02071626,0.0221624,0.24097561
fish sauce,sauce,token_phrase_containment,sauce,fish sauce,0.666667,2182,558,53,0.0197246,0.02428964,0.09498208
flat leaf parsley,parsley,token_phrase_containment,parsley,flat leaf parsley,0.583333,1635,3492,21,0.00411281,0.01284404,0.00601375
flour,flour tortillas,token_phrase_containment,flour,flour tortillas,0.5,8057,1044,66,0.00730493,0.00819163,0.06321839
garlic,garlic paste,token_phrase_containment,garlic,garlic paste,0.666667,24801,543,37,0.00146205,0.00149188,0.06813996
garlic,garlic powder,token_phrase_containment,garlic,garlic powder,0.631579,24801,2686,491,0.01818788,0.01979759,0.1827997
ginger,ginger root,token_phrase_containment,ginger,ginger root,0.705882,7018,608,11,0.00144452,0.0015674,0.01809211
ginger,ground ginger,token_phrase_containment,ginger,ground ginger,0.631579,7018,890,58,0.00738854,0.00826446,0.06516854
granulated sugar,sugar,token_phrase_containment,sugar,granulated sugar,0.47619,1732,9681,570,0.05256848,0.32909931,0.05887822
greek yogurt,plain greek yogurt,token_phrase_containment,greek yogurt,plain greek yogurt,0.8,1697,1166,20,0.00703482,0.0117855,0.01715266
green bell pepper,pepper,token_phrase_containment,pepper,green bell pepper,0.521739,1301,22147,590,0.02581153,0.45349731,0.02664018
green onion,onion,token_phrase_containment,onion,green onion,0.625,8103,12300,874,0.04475396,0.10786129,0.07105691
green pepper,pepper,token_phrase_containment,pepper,green pepper,0.666667,546,22147,212,0.00943019,0.38827839,0.0095724
ground nutmeg,nutmeg,token_phrase_containment,nutmeg,ground nutmeg,0.631579,631,649,3,0.00234926,0.00475436,0.0046225
ground red pepper,pepper,token_phrase_containment,pepper,ground red pepper,0.521739,539,22147,214,0.00952296,0.39703154,0.00966271
ground red pepper,red pepper,token_phrase_containment,red pepper,ground red pepper,0.740741,539,1751,9,0.00394564,0.01669759,0.00513992
ground turmeric,turmeric,token_phrase_containment,turmeric,ground turmeric,0.695652,1864,1222,25,0.00816727,0.01341202,0.02045827
hoisin sauce,sauce,token_phrase_containment,sauce,hoisin sauce,0.588235,705,558,21,0.01690821,0.02978723,0.03763441
hot sauce,sauce,token_phrase_containment,sauce,hot sauce,0.714286,739,558,5,0.00386997,0.0067659,0.00896057
lemon,lemon juice,token_phrase_containment,lemon,lemon juice,0.625,2264,4935,255,0.03672235,0.11263251,0.05167173
lemon,lemon zest,token_phrase_containment,lemon,lemon zest,0.666667,2264,808,44,0.01453104,0.01943463,0.05445545
lettuce,romaine lettuce,token_phrase_containment,lettuce,romaine lettuce,0.636364,611,589,2,0.00166945,0.00327332,0.00339559
light brown sugar,sugar,token_phrase_containment,sugar,light brown sugar,0.454545,751,9681,96,0.00928793,0.12782956,0.00991633
light soy sauce,sauce,token_phrase_containment,sauce,light soy sauce,0.5,784,558,18,0.01359517,0.02295918,0.03225806
light soy sauce,soy sauce,token_phrase_containment,soy sauce,light soy sauce,0.75,784,5367,32,0.00522961,0.04081633,0.00596236
lime,lime juice,token_phrase_containment,lime,lime juice,0.571429,3146,3816,259,0.03863942,0.08232676,0.06787212
lime,lime wedges,token_phrase_containment,lime,lime wedges,0.533333,3146,882,100,0.02545825,0.0317864,0.11337868
low sodium soy sauce,sauce,token_phrase_containment,sauce,low sodium soy sauce,0.4,730,558,21,0.01657459,0.02876712,0.03763441
low sodium soy sauce,soy sauce,token_phrase_containment,soy sauce,low sodium soy sauce,0.62069,730,5367,23,0.00378663,0.03150685,0.00428545
milk,whole milk,token_phrase_containment,milk,whole milk,0.571429,3433,1012,23,0.00520127,0.00669968,0.02272727
mint,mint leaves,token_phrase_containment,mint,mint leaves,0.533333,1236,550,11,0.00619718,0.00889968,0.02
oil,olive oil,token_phrase_containment,oil,olive oil,0.5,3310,18893,118,0.00534299,0.03564955,0.0062457
oil,peanut oil,token_phrase_containment,oil,peanut oil,0.461538,3310,930,17,0.00402557,0.00513595,0.01827957
oil,sesame oil,token_phrase_containment,oil,sesame oil,0.461538,3310,2978,321,0.05379588,0.09697885,0.10779046
oil,toasted sesame oil,token_phrase_containment,oil,toasted sesame oil,0.285714,3310,610,29,0.0074531,0.00876133,0.04754098
oil,vegetable oil,token_phrase_containment,oil,vegetable oil,0.375,3310,5198,70,0.0082958,0.02114804,0.01346672
onion,onion powder,token_phrase_containment,onion,onion powder,0.588235,12300,1028,131,0.0099265,0.01065041,0.12743191
onion,purple onion,token_phrase_containment,onion,purple onion,0.588235,12300,2637,75,0.00504643,0.00609756,0.02844141
onion,red onion,token_phrase_containment,onion,red onion,0.714286,12300,1162,41,0.00305491,0.00333333,0.03528399
onion,spanish onion,token_phrase_containment,onion,spanish onion,0.555556,12300,603,13,0.00100853,0.00105691,0.02155887
onion,sweet onion,token_phrase_containment,onion,sweet onion,0.625,12300,594,13,0.00100924,0.00105691,0.02188552
onion,white onion,token_phrase_containment,onion,white onion,0.625,12300,1149,25,0.00186234,0.00203252,0.02175805
onion,yellow onion,token_phrase_containment,onion,yellow onion,0.588235,12300,2303,40,0.00274669,0.00325203,0.01736865
orange,orange juice,token_phrase_containment,orange,orange juice,0.666667,476,796,99,0.08439898,0.20798319,0.12437186
oyster sauce,sauce,token_phrase_containment,sauce,oyster sauce,0.588235,891,558,36,0.02547771,0.04040404,0.06451613
paprika,smoked paprika,token_phrase_containment,paprika,smoked paprika,0.666667,1778,961,30,0.0110742,0.01687289,0.03121748
pepper,red bell pepper,token_phrase_containment,pepper,red bell pepper,0.571429,22147,2893,1239,0.05205664,0.05594437,0.42827515
pepper,red pepper,token_phrase_containment,pepper,red pepper,0.75,22147,1751,644,0.02769416,0.02907843,0.36778983
pepper,red pepper flakes,token_phrase_containment,pepper,red pepper flakes,0.521739,22147,2319,1072,0.04582372,0.04840385,0.46226822
pepper,salt and pepper,token_phrase_containment,pepper,salt and pepper,0.571429,22147,1470,84,0.00356946,0.00379284,0.05714286
red pepper,red pepper flakes,token_phrase_containment,red pepper,red pepper flakes,0.740741,1751,2319,58,0.01445663,0.03312393,0.02501078
rice,rice vinegar,token_phrase_containment,rice,rice vinegar,0.5,1164,2142,71,0.02194745,0.06099656,0.03314659
salt,salt and pepper,token_phrase_containment,salt,salt and pepper,0.421053,34455,1470,170,0.00475458,0.00493397,0.11564626
sauce,soy sauce,token_phrase_containment,sauce,soy sauce,0.714286,558,5367,158,0.02739726,0.28315412,0.02943917
sauce,tomato sauce,token_phrase_containment,sauce,tomato sauce,0.588235,558,1168,8,0.00465658,0.01433692,0.00684932
sauce,worcestershire sauce,token_phrase_containment,sauce,worcestershire sauce,0.4,558,1109,10,0.006035,0.01792115,0.00901713
sesame oil,toasted sesame oil,token_phrase_containment,sesame oil,toasted sesame oil,0.714286,2978,610,20,0.00560538,0.00671592,0.03278689
sugar,white sugar,token_phrase_containment,sugar,white sugar,0.625,9681,894,92,0.00877611,0.00950315,0.10290828
thyme,thyme leaves,token_phrase_containment,thyme,thyme leaves,0.588235,2373,527,23,0.00799444,0.00969237,0.04364326
tomato,tomato paste,token_phrase_containment,tomato,tomato paste,0.666667,7169,1708,493,0.05880248,0.06876831,0.28864169
tomato,tomato sauce,token_phrase_containment,tomato,tomato sauce,0.666667,7169,1168,257,0.03180693,0.03584879,0.22003425
vanilla,vanilla extract,token_phrase_containment,vanilla,vanilla extract,0.636364,1041,2397,49,0.01445854,0.04707012,0.02044222
warm water,water,token_phrase_containment,water,warm water,0.666667,681,8805,93,0.00990099,0.13656388,0.01056218
white wine,white wine vinegar,token_phrase_containment,white wine,white wine vinegar,0.714286,609,665,11,0.00870942,0.0180624,0.01654135
