value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
mint,1409,1409,0.02937559,1.0,mint | mint | mint | mint | mint
coconut milk,1395,1395,0.02908371,1.0,coconut milk | coconut milk | coconut milk | coconut milk | coconut milk
dijon mustard,1392,1392,0.02902116,1.0,dijon mustard | dijon mustard | dijon mustard | dijon mustard | dijon mustard
shrimp,1390,1390,0.02897946,1.0,shrimp | shrimp | shrimp | shrimp | shrimp
heavy cream,1375,1375,0.02866674,1.0,heavy cream | heavy cream | heavy cream | heavy cream | heavy cream
baking powder,1309,1309,0.02729073,1.0,baking powder | baking powder | baking powder | baking powder | baking powder
black beans,1244,1244,0.02593558,1.0,black beans | black beans | black beans | black beans | black beans
zucchini,1228,1228,0.025602,1.0,zucchini | zucchini | zucchini | zucchini | zucchini
celery,1202,1202,0.02505994,1.0,celery | celery | celery | celery | celery
green chilies,1201,1201,0.02503909,1.0,green chilies | green chilies | green chilies | green chilies | green chilies
red wine vinegar,1133,1133,0.02362139,1.0,red wine vinegar | red wine vinegar | red wine vinegar | red wine vinegar | red wine vinegar
cumin seed,1092,1092,0.0227666,1.0,cumin seed | cumin seed | cumin seed | cumin seed | cumin seed
salsa,1076,1076,0.02243302,1.0,salsa | salsa | salsa | salsa | salsa
egg whites,1053,1053,0.02195351,1.0,egg whites | egg whites | egg whites | egg whites | egg whites
nutmeg,1044,1044,0.02176587,1.0,nutmeg | nutmeg | nutmeg | nutmeg | nutmeg
pasta,1024,1024,0.0213489,1.0,pasta | pasta | pasta | pasta | pasta
potato,1009,1009,0.02103617,1.0,potato | potato | potato | potato | potato
corn tortillas,1001,1001,0.02086938,1.0,corn tortillas | corn tortillas | corn tortillas | corn tortillas | corn tortillas
mushroom,996,996,0.02076514,1.0,mushroom | mushroom | mushroom | mushroom | mushroom
red chili peppers,977,977,0.02036902,1.0,red chili peppers | red chili peppers | red chili peppers | red chili peppers | red chili peppers
dry white wine,931,931,0.01940999,1.0,dry white wine | dry white wine | dry white wine | dry white wine | dry white wine
rice,930,930,0.01938914,1.0,rice | rice | rice | rice | rice
italian seasoning,899,899,0.01874283,1.0,italian seasoning | italian seasoning | italian seasoning | italian seasoning | italian seasoning
spinach,896,896,0.01868029,1.0,spinach | spinach | spinach | spinach | spinach
worcestershire sauce,886,886,0.0184718,1.0,worcestershire sauce | worcestershire sauce | worcestershire sauce | worcestershire sauce | worcestershire sauce
apple cider vinegar,872,872,0.01817992,1.0,apple cider vinegar | apple cider vinegar | apple cider vinegar | apple cider vinegar | apple cider vinegar
cherry tomatoes,856,856,0.01784635,1.0,cherry tomatoes | cherry tomatoes | cherry tomatoes | cherry tomatoes | cherry tomatoes
baking soda,851,851,0.0177421,1.0,baking soda | baking soda | baking soda | baking soda | baking soda
pork,847,847,0.01765871,1.0,pork | pork | pork | pork | pork
rosemary,838,838,0.01747107,1.0,rosemary | rosemary | rosemary | rosemary | rosemary
vanilla,832,832,0.01734598,1.0,vanilla | vanilla | vanilla | vanilla | vanilla
chives,831,831,0.01732513,1.0,chives | chives | chives | chives | chives
flour tortillas,828,828,0.01726259,1.0,flour tortillas | flour tortillas | flour tortillas | flour tortillas | flour tortillas
onion powder,822,822,0.0171375,1.0,onion powder | onion powder | onion powder | onion powder | onion powder
peanuts,818,818,0.0170541,1.0,peanuts | peanuts | peanuts | peanuts | peanuts
egg yolks,815,815,0.01699156,1.0,egg yolks | egg yolks | egg yolks | egg yolks | egg yolks
mirin,812,812,0.01692901,1.0,mirin | mirin | mirin | mirin | mirin
balsamic vinegar,809,809,0.01686647,1.0,balsamic vinegar | balsamic vinegar | balsamic vinegar | balsamic vinegar | balsamic vinegar
curry powder,801,801,0.01669968,1.0,curry powder | curry powder | curry powder | curry powder | curry powder
sesame seeds,796,796,0.01659543,1.0,sesame seeds | sesame seeds | sesame seeds | sesame seeds | sesame seeds
smoked paprika,769,769,0.01603252,1.0,smoked paprika | smoked paprika | smoked paprika | smoked paprika | smoked paprika
peas,767,767,0.01599083,1.0,peas | peas | peas | peas | peas
peanut oil,743,743,0.01549046,1.0,peanut oil | peanut oil | peanut oil | peanut oil | peanut oil
sriracha,743,743,0.01549046,1.0,sriracha | sriracha | sriracha | sriracha | sriracha
corn,715,715,0.0149067,1.0,corn | corn | corn | corn | corn
oyster sauce,712,712,0.01484416,1.0,oyster sauce | oyster sauce | oyster sauce | oyster sauce | oyster sauce
dill,706,706,0.01471907,1.0,dill | dill | dill | dill | dill
lime wedges,706,706,0.01471907,1.0,lime wedges | lime wedges | lime wedges | lime wedges | lime wedges
coconut oil,695,695,0.01448973,1.0,coconut oil | coconut oil | coconut oil | coconut oil | coconut oil
ketchup,683,683,0.01423955,1.0,ketchup | ketchup | ketchup | ketchup | ketchup
lemon zest,646,646,0.01346815,1.0,lemon zest | lemon zest | lemon zest | lemon zest | lemon zest
bacon,639,639,0.01332221,1.0,bacon | bacon | bacon | bacon | bacon
orange juice,630,630,0.01313458,1.0,orange juice | orange juice | orange juice | orange juice | orange juice
green beans,625,625,0.01303033,1.0,green beans | green beans | green beans | green beans | green beans
chickpeas,619,619,0.01290524,1.0,chickpeas | chickpeas | chickpeas | chickpeas | chickpeas
maple syrup,614,614,0.012801,1.0,maple syrup | maple syrup | maple syrup | maple syrup | maple syrup
hot sauce,591,591,0.01232148,1.0,hot sauce | hot sauce | hot sauce | hot sauce | hot sauce
hoisin sauce,562,562,0.01171688,1.0,hoisin sauce | hoisin sauce | hoisin sauce | hoisin sauce | hoisin sauce
bell pepper,559,559,0.01165433,1.0,bell pepper | bell pepper | bell pepper | bell pepper | bell pepper
plum tomatoes,558,558,0.01163348,1.0,plum tomatoes | plum tomatoes | plum tomatoes | plum tomatoes | plum tomatoes
buttermilk,539,539,0.01123736,1.0,buttermilk | buttermilk | buttermilk | buttermilk | buttermilk
sake,535,535,0.01115397,1.0,sake | sake | sake | sake | sake
white wine vinegar,533,533,0.01111227,1.0,white wine vinegar | white wine vinegar | white wine vinegar | white wine vinegar | white wine vinegar
chinese five spice powder,530,530,0.01104972,1.0,chinese five spice powder | chinese five spice powder | chinese five spice powder | chinese five spice powder | chinese five spice powder
sweet potatoes,530,530,0.01104972,1.0,sweet potatoes | sweet potatoes | sweet potatoes | sweet potatoes | sweet potatoes
almond,516,516,0.01075784,1.0,almond | almond | almond | almond | almond
lemongrass,516,516,0.01075784,1.0,lemongrass | lemongrass | lemongrass | lemongrass | lemongrass
beansprouts,509,509,0.0106119,1.0,beansprouts | beansprouts | beansprouts | beansprouts | beansprouts
shaoxing wine,505,505,0.01052851,1.0,shaoxing wine | shaoxing wine | shaoxing wine | shaoxing wine | shaoxing wine
vegetable broth,505,505,0.01052851,1.0,vegetable broth | vegetable broth | vegetable broth | vegetable broth | vegetable broth
cauliflower,504,504,0.01050766,1.0,cauliflower | cauliflower | cauliflower | cauliflower | cauliflower
coriander seeds,502,502,0.01046596,1.0,coriander seeds | coriander seeds | coriander seeds | coriander seeds | coriander seeds
baby spinach,501,501,0.01044512,1.0,baby spinach | baby spinach | baby spinach | baby spinach | baby spinach
bread,496,496,0.01034087,1.0,bread | bread | bread | bread | bread
capers,488,488,0.01017409,1.0,capers | capers | capers | capers | capers
curry leaves,484,484,0.01009069,1.0,curry leaves | curry leaves | curry leaves | curry leaves | curry leaves
lettuce,484,484,0.01009069,1.0,lettuce | lettuce | lettuce | lettuce | lettuce
white wine,483,483,0.01006984,1.0,white wine | white wine | white wine | white wine | white wine
black olives,481,481,0.01002815,1.0,black olives | black olives | black olives | black olives | black olives
french bread,479,479,0.00998645,1.0,french bread | french bread | french bread | french bread | french bread
cabbage,475,475,0.00990305,1.0,cabbage | cabbage | cabbage | cabbage | cabbage
roma tomatoes,474,474,0.00988221,1.0,roma tomatoes | roma tomatoes | roma tomatoes | roma tomatoes | roma tomatoes
quinoa,473,473,0.00986136,1.0,quinoa | quinoa | quinoa | quinoa | quinoa
strawberry,470,470,0.00979881,1.0,strawberry | strawberry | strawberry | strawberry | strawberry
cinnamon sticks,468,468,0.00975711,1.0,cinnamon sticks | cinnamon sticks | cinnamon sticks | cinnamon sticks | cinnamon sticks
mustard seeds,468,468,0.00975711,1.0,mustard seeds | mustard seeds | mustard seeds | mustard seeds | mustard seeds
fennel seeds,457,457,0.00952778,1.0,fennel seeds | fennel seeds | fennel seeds | fennel seeds | fennel seeds
banana,454,454,0.00946524,1.0,banana | banana | banana | banana | banana
romaine lettuce,454,454,0.00946524,1.0,romaine lettuce | romaine lettuce | romaine lettuce | romaine lettuce | romaine lettuce
eggplant,448,448,0.00934014,1.0,eggplant | eggplant | eggplant | eggplant | eggplant
white vinegar,446,446,0.00929845,1.0,white vinegar | white vinegar | white vinegar | white vinegar | white vinegar
ghee,442,442,0.00921505,1.0,ghee | ghee | ghee | ghee | ghee
corn kernels,420,420,0.00875638,1.0,corn kernels | corn kernels | corn kernels | corn kernels | corn kernels
broccoli,420,420,0.00875638,1.0,broccoli | broccoli | broccoli | broccoli | broccoli
pecan,410,410,0.0085479,1.0,pecan | pecan | pecan | pecan | pecan
sherry vinegar,398,398,0.00829772,1.0,sherry vinegar | sherry vinegar | sherry vinegar | sherry vinegar | sherry vinegar
peanut butter,387,387,0.00806838,1.0,peanut butter | peanut butter | peanut butter | peanut butter | peanut butter
black peppercorns,386,386,0.00804753,1.0,black peppercorns | black peppercorns | black peppercorns | black peppercorns | black peppercorns
mango,385,385,0.00802669,1.0,mango | mango | mango | mango | mango
rice noodles,379,379,0.00790159,1.0,rice noodles | rice noodles | rice noodles | rice noodles | rice noodles
basmati rice,376,376,0.00783905,1.0,basmati rice | basmati rice | basmati rice | basmati rice | basmati rice
english cucumber,372,372,0.00775566,1.0,english cucumber | english cucumber | english cucumber | english cucumber | english cucumber
sweet chili sauce,370,370,0.00771396,1.0,sweet chili sauce | sweet chili sauce | sweet chili sauce | sweet chili sauce | sweet chili sauce
white rice,370,370,0.00771396,1.0,white rice | white rice | white rice | white rice | white rice
cashew nuts,369,369,0.00769311,1.0,cashew nuts | cashew nuts | cashew nuts | cashew nuts | cashew nuts
orange,368,368,0.00767226,1.0,orange | orange | orange | orange | orange
taco seasoning,368,368,0.00767226,1.0,taco seasoning | taco seasoning | taco seasoning | taco seasoning | taco seasoning
tomatillos,362,362,0.00754717,1.0,tomatillos | tomatillos | tomatillos | tomatillos | tomatillos
walnut,356,356,0.00742208,1.0,walnut | walnut | walnut | walnut | walnut
shallot,355,355,0.00740123,1.0,shallot | shallot | shallot | shallot | shallot
chicken breast halves,350,350,0.00729699,1.0,chicken breast halves | chicken breast halves | chicken breast halves | chicken breast halves | chicken breast halves
whipping cream,347,347,0.00723444,1.0,whipping cream | whipping cream | whipping cream | whipping cream | whipping cream
beef broth,344,344,0.0071719,1.0,beef broth | beef broth | beef broth | beef broth | beef broth
shiitake,344,344,0.0071719,1.0,shiitake | shiitake | shiitake | shiitake | shiitake
brown rice,342,342,0.0071302,1.0,brown rice | brown rice | brown rice | brown rice | brown rice
grape tomatoes,341,341,0.00710935,1.0,grape tomatoes | grape tomatoes | grape tomatoes | grape tomatoes | grape tomatoes
pure vanilla extract,339,339,0.00706765,1.0,pure vanilla extract | pure vanilla extract | pure vanilla extract | pure vanilla extract | pure vanilla extract
tortilla chips,338,338,0.0070468,1.0,tortilla chips | tortilla chips | tortilla chips | tortilla chips | tortilla chips
thai basil,336,336,0.00700511,1.0,thai basil | thai basil | thai basil | thai basil | thai basil
garlic salt,335,335,0.00698426,1.0,garlic salt | garlic salt | garlic salt | garlic salt | garlic salt
active dry yeast,330,330,0.00688002,1.0,active dry yeast | active dry yeast | active dry yeast | active dry yeast | active dry yeast
and half,329,329,0.00685917,1.0,and half | and half | and half | and half | and half
asparagus,326,326,0.00679662,1.0,asparagus | asparagus | asparagus | asparagus | asparagus
leeks,325,325,0.00677577,1.0,leeks | leeks | leeks | leeks | leeks
red curry paste,323,323,0.00673408,1.0,red curry paste | red curry paste | red curry paste | red curry paste | red curry paste
fine sea salt,322,322,0.00671323,1.0,fine sea salt | fine sea salt | fine sea salt | fine sea salt | fine sea salt
thai chile,320,320,0.00667153,1.0,thai chile | thai chile | thai chile | thai chile | thai chile
cornstarch,319,319,0.00665068,1.0,cornstarch | cornstarch | cornstarch | cornstarch | cornstarch
bread crumbs,314,314,0.00654644,1.0,bread crumbs | bread crumbs | bread crumbs | bread crumbs | bread crumbs
creamy peanut butter,311,311,0.00648389,1.0,creamy peanut butter | creamy peanut butter | creamy peanut butter | creamy peanut butter | creamy peanut butter
fat free,309,309,0.0064422,1.0,fat free | fat free | fat free | fat free | fat free
star anise,309,309,0.0064422,1.0,star anise | star anise | star anise | star anise | star anise
blueberry,308,308,0.00642135,1.0,blueberry | blueberry | blueberry | blueberry | blueberry
cream,308,308,0.00642135,1.0,cream | cream | cream | cream | cream
yellow bell pepper,307,307,0.0064005,1.0,yellow bell pepper | yellow bell pepper | yellow bell pepper | yellow bell pepper | yellow bell pepper
cumin seeds,307,307,0.0064005,1.0,cumin seeds | cumin seeds | cumin seeds | cumin seeds | cumin seeds
marinara sauce,306,306,0.00637965,1.0,marinara sauce | marinara sauce | marinara sauce | marinara sauce | marinara sauce
red wine,306,306,0.00637965,1.0,red wine | red wine | red wine | red wine | red wine
kalamata,305,305,0.0063588,1.0,kalamata | kalamata | kalamata | kalamata | kalamata
butternut squash,301,301,0.00627541,1.0,butternut squash | butternut squash | butternut squash | butternut squash | butternut squash
dark brown sugar,301,301,0.00627541,1.0,dark brown sugar | dark brown sugar | dark brown sugar | dark brown sugar | dark brown sugar
mozzarella,300,300,0.00625456,1.0,mozzarella | mozzarella | mozzarella | mozzarella | mozzarella
broccoli florets,298,298,0.00621286,1.0,broccoli florets | broccoli florets | broccoli florets | broccoli florets | broccoli florets
salmon fillets,298,298,0.00621286,1.0,salmon fillets | salmon fillets | salmon fillets | salmon fillets | salmon fillets
baguette,297,297,0.00619202,1.0,baguette | baguette | baguette | baguette | baguette
pineapple,296,296,0.00617117,1.0,pineapple | pineapple | pineapple | pineapple | pineapple
saffron threads,292,292,0.00608777,1.0,saffron threads | saffron threads | saffron threads | saffron threads | saffron threads
toasted sesame seeds,292,292,0.00608777,1.0,toasted sesame seeds | toasted sesame seeds | toasted sesame seeds | toasted sesame seeds | toasted sesame seeds
ground turkey,291,291,0.00606692,1.0,ground turkey | ground turkey | ground turkey | ground turkey | ground turkey
red cabbage,291,291,0.00606692,1.0,red cabbage | red cabbage | red cabbage | red cabbage | red cabbage
radishes,291,291,0.00606692,1.0,radishes | radishes | radishes | radishes | radishes
coconut,288,288,0.00600438,1.0,coconut | coconut | coconut | coconut | coconut
enchilada sauce,287,287,0.00598353,1.0,enchilada sauce | enchilada sauce | enchilada sauce | enchilada sauce | enchilada sauce
vegetable stock,287,287,0.00598353,1.0,vegetable stock | vegetable stock | vegetable stock | vegetable stock | vegetable stock
jalapeno,287,287,0.00598353,1.0,jalapeno | jalapeno | jalapeno | jalapeno | jalapeno
roasted red peppers,287,287,0.00598353,1.0,roasted red peppers | roasted red peppers | roasted red peppers | roasted red peppers | roasted red peppers
kaffir lime leaves,283,283,0.00590014,1.0,kaffir lime leaves | kaffir lime leaves | kaffir lime leaves | kaffir lime leaves | kaffir lime leaves
ground cloves,283,283,0.00590014,1.0,ground cloves | ground cloves | ground cloves | ground cloves | ground cloves
kale,283,283,0.00590014,1.0,kale | kale | kale | kale | kale
russet potatoes,279,279,0.00581674,1.0,russet potatoes | russet potatoes | russet potatoes | russet potatoes | russet potatoes
lemon wedges,279,279,0.00581674,1.0,lemon wedges | lemon wedges | lemon wedges | lemon wedges | lemon wedges
guacamole,276,276,0.0057542,1.0,guacamole | guacamole | guacamole | guacamole | guacamole
snow peas,275,275,0.00573335,1.0,snow peas | snow peas | snow peas | snow peas | snow peas
celery ribs,274,274,0.0057125,1.0,celery ribs | celery ribs | celery ribs | celery ribs | celery ribs
sage,272,272,0.0056708,1.0,sage | sage | sage | sage | sage
tortillas,272,272,0.0056708,1.0,tortillas | tortillas | tortillas | tortillas | tortillas
spanish paprika,270,270,0.0056291,1.0,spanish paprika | spanish paprika | spanish paprika | spanish paprika | spanish paprika
shiitake mushrooms,268,268,0.00558741,1.0,shiitake mushrooms | shiitake mushrooms | shiitake mushrooms | shiitake mushrooms | shiitake mushrooms
roasted peanuts,267,267,0.00556656,1.0,roasted peanuts | roasted peanuts | roasted peanuts | roasted peanuts | roasted peanuts
ground cardamom,265,265,0.00552486,1.0,ground cardamom | ground cardamom | ground cardamom | ground cardamom | ground cardamom
napa cabbage,264,264,0.00550401,1.0,napa cabbage | napa cabbage | napa cabbage | napa cabbage | napa cabbage
apple,262,262,0.00546232,1.0,apple | apple | apple | apple | apple
chili sauce,262,262,0.00546232,1.0,chili sauce | chili sauce | chili sauce | chili sauce | chili sauce
dry sherry,262,262,0.00546232,1.0,dry sherry | dry sherry | dry sherry | dry sherry | dry sherry
flank steak,262,262,0.00546232,1.0,flank steak | flank steak | flank steak | flank steak | flank steak
reduced sodium soy sauce,260,260,0.00542062,1.0,reduced sodium soy sauce | reduced sodium soy sauce | reduced sodium soy sauce | reduced sodium soy sauce | reduced sodium soy sauce
rice wine,259,259,0.00539977,1.0,rice wine | rice wine | rice wine | rice wine | rice wine
tomato puree,259,259,0.00539977,1.0,tomato puree | tomato puree | tomato puree | tomato puree | tomato puree
hot water,259,259,0.00539977,1.0,hot water | hot water | hot water | hot water | hot water
yukon gold potatoes,258,258,0.00537892,1.0,yukon gold potatoes | yukon gold potatoes | yukon gold potatoes | yukon gold potatoes | yukon gold potatoes
firm tofu,258,258,0.00537892,1.0,firm tofu | firm tofu | firm tofu | firm tofu | firm tofu
refried beans,254,254,0.00529553,1.0,refried beans | refried beans | refried beans | refried beans | refried beans
saffron,253,253,0.00527468,1.0,saffron | saffron | saffron | saffron | saffron
italian sausage,252,252,0.00525383,1.0,italian sausage | italian sausage | italian sausage | italian sausage | italian sausage
raisins,251,251,0.00523298,1.0,raisins | raisins | raisins | raisins | raisins
arborio rice,251,251,0.00523298,1.0,arborio rice | arborio rice | arborio rice | arborio rice | arborio rice
olives,249,249,0.00519129,1.0,olives | olives | olives | olives | olives
extra firm tofu,243,243,0.00506619,1.0,extra firm tofu | extra firm tofu | extra firm tofu | extra firm tofu | extra firm tofu
jalapeno pepper,243,243,0.00506619,1.0,jalapeno pepper | jalapeno pepper | jalapeno pepper | jalapeno pepper | jalapeno pepper
tarragon,241,241,0.0050245,1.0,tarragon | tarragon | tarragon | tarragon | tarragon
arugula,239,239,0.0049828,1.0,arugula | arugula | arugula | arugula | arugula
thai red curry paste,238,238,0.00496195,1.0,thai red curry paste | thai red curry paste | thai red curry paste | thai red curry paste | thai red curry paste
light coconut milk,236,236,0.00492025,1.0,light coconut milk | light coconut milk | light coconut milk | light coconut milk | light coconut milk
spanish chorizo,231,231,0.00481601,1.0,spanish chorizo | spanish chorizo | spanish chorizo | spanish chorizo | spanish chorizo
mussels,230,230,0.00479516,1.0,mussels | mussels | mussels | mussels | mussels
vegetables,229,229,0.00477431,1.0,vegetables | vegetables | vegetables | vegetables | vegetables
vinegar,227,227,0.00473262,1.0,vinegar | vinegar | vinegar | vinegar | vinegar
boiling water,226,226,0.00471177,1.0,boiling water | boiling water | boiling water | boiling water | boiling water
pitted kalamata olives,224,224,0.00467007,1.0,pitted kalamata olives | pitted kalamata olives | pitted kalamata olives | pitted kalamata olives | pitted kalamata olives
whole wheat flour,223,223,0.00464922,1.0,whole wheat flour | whole wheat flour | whole wheat flour | whole wheat flour | whole wheat flour
red onions,223,223,0.00464922,1.0,red onions | red onions | red onions | red onions | red onions
dry red wine,221,221,0.00460753,1.0,dry red wine | dry red wine | dry red wine | dry red wine | dry red wine
long grain white rice,218,218,0.00454498,1.0,long grain white rice | long grain white rice | long grain white rice | long grain white rice | long grain white rice
lime zest,218,218,0.00454498,1.0,lime zest | lime zest | lime zest | lime zest | lime zest
noodles,217,217,0.00452413,1.0,noodles | noodles | noodles | noodles | noodles
pinto beans,217,217,0.00452413,1.0,pinto beans | pinto beans | pinto beans | pinto beans | pinto beans
water chestnuts,217,217,0.00452413,1.0,water chestnuts | water chestnuts | water chestnuts | water chestnuts | water chestnuts
palm sugar,215,215,0.00448244,1.0,palm sugar | palm sugar | palm sugar | palm sugar | palm sugar
beef stock,215,215,0.00448244,1.0,beef stock | beef stock | beef stock | beef stock | beef stock
pork tenderloin,215,215,0.00448244,1.0,pork tenderloin | pork tenderloin | pork tenderloin | pork tenderloin | pork tenderloin
jasmine rice,214,214,0.00446159,1.0,jasmine rice | jasmine rice | jasmine rice | jasmine rice | jasmine rice
mustard,214,214,0.00446159,1.0,mustard | mustard | mustard | mustard | mustard
long grain rice,213,213,0.00444074,1.0,long grain rice | long grain rice | long grain rice | long grain rice | long grain rice
orange zest,211,211,0.00439904,1.0,orange zest | orange zest | orange zest | orange zest | orange zest
ground chicken,210,210,0.00437819,1.0,ground chicken | ground chicken | ground chicken | ground chicken | ground chicken
reduced sodium chicken broth,210,210,0.00437819,1.0,reduced sodium chicken broth | reduced sodium chicken broth | reduced sodium chicken broth | reduced sodium chicken broth | reduced sodium chicken broth
chillies,210,210,0.00437819,1.0,chillies | chillies | chillies | chillies | chillies
heavy whipping cream,207,207,0.00431565,1.0,heavy whipping cream | heavy whipping cream | heavy whipping cream | heavy whipping cream | heavy whipping cream
thyme sprigs,206,206,0.0042948,1.0,thyme sprigs | thyme sprigs | thyme sprigs | thyme sprigs | thyme sprigs
chorizo,206,206,0.0042948,1.0,chorizo | chorizo | chorizo | chorizo | chorizo
ginger paste,204,204,0.0042531,1.0,ginger paste | ginger paste | ginger paste | ginger paste | ginger paste
chili paste,204,204,0.0042531,1.0,chili paste | chili paste | chili paste | chili paste | chili paste
iceberg lettuce,204,204,0.0042531,1.0,iceberg lettuce | iceberg lettuce | iceberg lettuce | iceberg lettuce | iceberg lettuce
parmesan,203,203,0.00423225,1.0,parmesan | parmesan | parmesan | parmesan | parmesan
chinese rice wine,203,203,0.00423225,1.0,chinese rice wine | chinese rice wine | chinese rice wine | chinese rice wine | chinese rice wine
lasagna noodles,202,202,0.0042114,1.0,lasagna noodles | lasagna noodles | lasagna noodles | lasagna noodles | lasagna noodles
